Verkäufe,Gewicht,Fettgehalt,Visibilität,Typ,Max_Preis,Ladengrösse
3735.138,9.3,Low Fat,0.016047301,Dairy,249.8092,Supermarket Type1
443.4228,5.92,Regular,0.019278216,Soft Drinks,48.2692,Supermarket Type2
2097.27,17.5,Low Fat,0.016760075,Meat,141.618,Supermarket Type1
732.38,19.2,Regular,0,Fruits and Vegetables,182.095,Grocery Store
994.7052,8.93,Low Fat,0,Household,53.8614,Supermarket Type1
556.6088,10.395,Regular,0,Baking Goods,51.4008,Supermarket Type2
343.5528,13.65,Regular,0.012741089,Snack Foods,57.6588,Supermarket Type1
4022.7636,NA,Low Fat,0.127469857,Snack Foods,107.76220000000001,Supermarket Type3
1076.5986,16.2,Regular,0.016687114,Frozen Foods,96.9726,Supermarket Type1
4710.535,19.2,Regular,0.09444959,Frozen Foods,187.8214,Supermarket Type1
1516.0266,11.8,Low Fat,0,Fruits and Vegetables,45.5402,Supermarket Type1
2187.153,18.5,Regular,0.045463773,Dairy,144.1102,Supermarket Type1
1589.2646,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Supermarket Type1
2145.2076,17.6,Regular,0.047257328,Snack Foods,119.6782,Supermarket Type1
1977.426,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,Supermarket Type1
1547.3192,9,Regular,0.069088961,Breakfast,56.3614,Supermarket Type1
1621.8888,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,Supermarket Type2
718.3982,9,Regular,0.069196376,Breakfast,54.3614,Supermarket Type1
2303.668,NA,Low Fat,0.034237682,Hard Drinks,113.2834,Supermarket Type3
2748.4224,13.35,Low Fat,0.10249212,Dairy,230.5352,Supermarket Type1
3775.086,18.85,Regular,0.138190277,Snack Foods,250.8724,Supermarket Type1
4064.0432,NA,Regular,0.035399923,Baking Goods,144.5444,Supermarket Type3
1587.2672,14.6,Low Fat,0.025698134,Household,196.5084,Supermarket Type1
214.3876,NA,Low Fat,0.057556998,Baking Goods,107.6938,Grocery Store
4078.025,13.85,Regular,0.025896485,Frozen Foods,165.021,Supermarket Type1
838.908,13,Low Fat,0.099887103,Household,45.906,Supermarket Type1
1065.28,7.645,Regular,0.066693437,Snack Foods,42.3112,Supermarket Type1
308.9312,11.65,low fat,0.019356132,Hard Drinks,39.1164,Supermarket Type1
178.4344,5.925,Regular,0.161466534,Dairy,45.5086,Grocery Store
125.8362,NA,Regular,0.072221801,Canned,43.6454,Grocery Store
163.7868,19.25,Low Fat,0.170348551,Dairy,55.7956,Grocery Store
2741.7644,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,Supermarket Type2
3068.0064,18.7,Low Fat,0,Snack Foods,256.6672,Supermarket Type2
2174.5028,17.85,Low Fat,0,Breads,93.1436,Supermarket Type1
2085.2856,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,Supermarket Type1
3791.0652,10,Low Fat,0.089291137,Health and Hygiene,146.7102,Supermarket Type1
2797.6916,NA,Regular,0.059511812,Fruits and Vegetables,128.0678,Supermarket Type3
1609.9044,8.85,Regular,0.113123893,Soft Drinks,122.5388,Supermarket Type2
388.1614,NA,Regular,0.123111453,Snack Foods,36.9874,Supermarket Type3
2180.495,NA,Low Fat,0.026480954,Snack Foods,87.6198,Supermarket Type3
3435.528,13.35,Low Fat,0.102511504,Dairy,230.6352,Supermarket Type1
2150.534,9.8,Low Fat,0.02681843,Meat,126.002,Supermarket Type1
2527.3768,13.6,Low Fat,0.117818348,Snack Foods,192.9136,Supermarket Type1
6768.5228,21.35,Low Fat,0.069102831,Canned,259.9278,Supermarket Type2
373.5138,12.15,Regular,0.042277867,Canned,126.5046,Supermarket Type1
358.2004,6.42,LF,0.089498926,Dairy,178.1002,Grocery Store
2428.8384,19.6,Low Fat,0,Health and Hygiene,153.3024,Supermarket Type1
5815.0972,10,Low Fat,0.025879577,Canned,265.2226,Supermarket Type1
2576.646,15.85,Regular,0.121632721,Baking Goods,60.622,Supermarket Type1
780.3176,NA,Regular,0.255394896,Dairy,196.8794,Grocery Store
3134.5864,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,Supermarket Type1
850.8924,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,Supermarket Type1
810.9444,9.895,Regular,0.028696932,Canned,117.0492,Supermarket Type1
3121.2704,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,Supermarket Type1
4815.0656,12.15,Low Fat,0.028760013,Household,151.4708,Supermarket Type1
6258.52,7.905,Low Fat,0.010053105,Snack Foods,249.0408,Supermarket Type2
2117.244,9.195,Low Fat,0.048157338,Household,106.1622,Supermarket Type1
796.9626,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,Supermarket Type1
4910.275,15.1,Low Fat,0.173481304,Snack Foods,194.511,Supermarket Type1
892.172,NA,Low Fat,0.061082177,Canned,180.0344,Grocery Store
3185.1872,10,Low Fat,0,Fruits and Vegetables,246.9144,Supermarket Type2
1062.6168,7.97,Regular,0.040071131,Meat,87.3514,Supermarket Type1
484.7024,NA,Low Fat,0.012090074,Fruits and Vegetables,38.2848,Supermarket Type3
147.8076,NA,Regular,0.15028599,Frozen Foods,51.0692,Grocery Store
2543.356,NA,Low Fat,0.026015519,Snack Foods,255.8356,Supermarket Type3
